session_id,run_index,mode,source,elapsed_seconds,total_frames,average_fps,min_fps,average_frame_ms,p95_frame_ms,external_packets,avg_packet_interval_ms,avg_estimated_latency_ms,p95_estimated_latency_ms,static_commands,motion_commands,swipe_lr,swipe_rl,snap,point_to_fist,body_shift_left,body_shift_right
mock_extended_01_20260523_195650,1,Mock,extended_replay,26.7,801,60,59.57,16.667,16.787,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_01_20260523_195650,1,NativeMediapipe,extended_replay,26.7,801,29.645,29.297,33.732,34.133,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_01_20260523_195650,1,ExternalBridge,extended_replay,26.7,801,50.252,48.638,19.9,20.56,2510,33.333,16.167,26.833,11,13,4,2,0,0,3,4
mock_extended_02_20260523_195650,2,Mock,extended_replay,26.7,801,59.874,59.446,16.702,16.822,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_02_20260523_195650,2,NativeMediapipe,extended_replay,26.7,801,29.17,28.833,34.282,34.683,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_02_20260523_195650,2,ExternalBridge,extended_replay,26.7,801,49.457,47.893,20.22,20.88,2510,33.333,17.333,28,11,13,4,2,0,0,3,4
mock_extended_03_20260523_195650,3,Mock,extended_replay,26.7,801,59.749,59.323,16.737,16.857,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_03_20260523_195650,3,NativeMediapipe,extended_replay,26.7,801,30.137,29.777,33.182,33.583,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_03_20260523_195650,3,ExternalBridge,extended_replay,26.7,801,48.686,47.17,20.54,21.2,2510,33.333,18.5,29.167,11,13,4,2,0,0,3,4
mock_extended_04_20260523_195650,4,Mock,extended_replay,26.7,801,59.624,59.2,16.772,16.892,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_04_20260523_195650,4,NativeMediapipe,extended_replay,26.7,801,29.645,29.297,33.732,34.133,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_04_20260523_195650,4,ExternalBridge,extended_replay,26.7,801,51.073,49.407,19.58,20.24,2510,33.333,19.667,30.333,11,13,4,2,0,0,3,4
mock_extended_05_20260523_195650,5,Mock,extended_replay,26.7,801,59.5,59.077,16.807,16.927,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_05_20260523_195650,5,NativeMediapipe,extended_replay,26.7,801,29.17,28.833,34.282,34.683,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_05_20260523_195650,5,ExternalBridge,extended_replay,26.7,801,50.252,48.638,19.9,20.56,2510,33.333,15,25.667,11,13,4,2,0,0,3,4
mock_extended_06_20260523_195650,6,Mock,extended_replay,26.7,801,59.376,58.955,16.842,16.962,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_06_20260523_195650,6,NativeMediapipe,extended_replay,26.7,801,30.137,29.777,33.182,33.583,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_06_20260523_195650,6,ExternalBridge,extended_replay,26.7,801,49.457,47.893,20.22,20.88,2510,33.333,16.167,26.833,11,13,4,2,0,0,3,4
mock_extended_07_20260523_195650,7,Mock,extended_replay,26.7,801,59.253,58.834,16.877,16.997,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_07_20260523_195650,7,NativeMediapipe,extended_replay,26.7,801,29.645,29.297,33.732,34.133,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_07_20260523_195650,7,ExternalBridge,extended_replay,26.7,801,48.686,47.17,20.54,21.2,2510,33.333,17.333,28,11,13,4,2,0,0,3,4
mock_extended_08_20260523_195650,8,Mock,extended_replay,26.7,801,59.131,58.713,16.912,17.032,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_08_20260523_195650,8,NativeMediapipe,extended_replay,26.7,801,29.17,28.833,34.282,34.683,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_08_20260523_195650,8,ExternalBridge,extended_replay,26.7,801,51.073,49.407,19.58,20.24,2510,33.333,18.5,29.167,11,13,4,2,0,0,3,4
mock_extended_09_20260523_195650,9,Mock,extended_replay,26.7,801,59.009,58.593,16.947,17.067,0,0,0,0,26,13,4,2,0,0,3,4
nativemediapipe_extended_09_20260523_195650,9,NativeMediapipe,extended_replay,26.7,801,30.137,29.777,33.182,33.583,0,0,0,0,26,13,4,2,0,0,3,4
externalbridge_extended_09_20260523_195650,9,ExternalBridge,extended_replay,26.7,801,50.252,48.638,19.9,20.56,2510,33.333,19.667,30.333,11,13,4,2,0,0,3,4
