session_id,run_index,mode,source,elapsed_seconds,total_frames,average_fps,min_fps,average_frame_ms,p95_frame_ms,external_packets,avg_packet_interval_ms,avg_estimated_latency_ms,p95_estimated_latency_ms,static_commands,motion_commands,swipe_lr,swipe_rl,snap,point_to_fist,body_shift_left,body_shift_right
mock_extended_01_20260523_200753,1,Mock,extended_replay,26.133,784,59.999,59.57,16.667,16.787,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_01_20260523_200753,1,NativeMediapipe,extended_replay,26.133,784,29.646,29.297,33.732,34.133,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_01_20260523_200753,1,ExternalBridge,extended_replay,26.133,784,50.252,48.638,19.9,20.56,2510,33.333,16.167,26.833,9,15,4,3,0,0,4,4
mock_extended_02_20260523_200753,2,Mock,extended_replay,26.133,784,59.873,59.446,16.702,16.822,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_02_20260523_200753,2,NativeMediapipe,extended_replay,26.133,784,29.17,28.833,34.282,34.683,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_02_20260523_200753,2,ExternalBridge,extended_replay,26.133,784,49.457,47.893,20.22,20.88,2510,33.333,17.333,28,9,15,4,3,0,0,4,4
mock_extended_03_20260523_200753,3,Mock,extended_replay,26.133,784,59.748,59.323,16.737,16.857,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_03_20260523_200753,3,NativeMediapipe,extended_replay,26.133,784,30.137,29.777,33.182,33.583,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_03_20260523_200753,3,ExternalBridge,extended_replay,26.133,784,48.686,47.17,20.54,21.2,2510,33.333,18.5,29.167,9,15,4,3,0,0,4,4
mock_extended_04_20260523_200753,4,Mock,extended_replay,26.133,784,59.623,59.2,16.772,16.892,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_04_20260523_200753,4,NativeMediapipe,extended_replay,26.133,784,29.646,29.297,33.732,34.133,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_04_20260523_200753,4,ExternalBridge,extended_replay,26.133,784,51.073,49.407,19.58,20.24,2510,33.333,19.667,30.333,9,15,4,3,0,0,4,4
mock_extended_05_20260523_200753,5,Mock,extended_replay,26.133,784,59.499,59.077,16.807,16.927,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_05_20260523_200753,5,NativeMediapipe,extended_replay,26.133,784,29.17,28.833,34.282,34.683,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_05_20260523_200753,5,ExternalBridge,extended_replay,26.133,784,50.252,48.638,19.9,20.56,2510,33.333,15,25.667,9,15,4,3,0,0,4,4
mock_extended_06_20260523_200753,6,Mock,extended_replay,26.133,784,59.375,58.955,16.842,16.962,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_06_20260523_200753,6,NativeMediapipe,extended_replay,26.133,784,30.137,29.777,33.182,33.583,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_06_20260523_200753,6,ExternalBridge,extended_replay,26.133,784,49.457,47.893,20.22,20.88,2510,33.333,16.167,26.833,9,15,4,3,0,0,4,4
mock_extended_07_20260523_200753,7,Mock,extended_replay,26.133,784,59.252,58.834,16.877,16.997,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_07_20260523_200753,7,NativeMediapipe,extended_replay,26.133,784,29.646,29.297,33.732,34.133,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_07_20260523_200753,7,ExternalBridge,extended_replay,26.133,784,48.686,47.17,20.54,21.2,2510,33.333,17.333,28,9,15,4,3,0,0,4,4
mock_extended_08_20260523_200753,8,Mock,extended_replay,26.133,784,59.13,58.713,16.912,17.032,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_08_20260523_200753,8,NativeMediapipe,extended_replay,26.133,784,29.17,28.833,34.282,34.683,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_08_20260523_200753,8,ExternalBridge,extended_replay,26.133,784,51.073,49.407,19.58,20.24,2510,33.333,18.5,29.167,9,15,4,3,0,0,4,4
mock_extended_09_20260523_200753,9,Mock,extended_replay,26.133,784,59.007,58.593,16.947,17.067,0,0,0,0,20,15,4,3,0,0,4,4
nativemediapipe_extended_09_20260523_200753,9,NativeMediapipe,extended_replay,26.133,784,30.137,29.777,33.182,33.583,0,0,0,0,20,15,4,3,0,0,4,4
externalbridge_extended_09_20260523_200753,9,ExternalBridge,extended_replay,26.133,784,50.252,48.638,19.9,20.56,2510,33.333,19.667,30.333,9,15,4,3,0,0,4,4
