metric,value
mined_rows,300
accepted_rows,215
rejected_rows,85
accepted_rate,0.7167
subset_clips,32
train_clips,16
test_clips,16
sampled_frames,9600
detected_frames,7359
detected_frame_rate,0.7666
dataset_clips,48
total_replay_frames,1811
elapsed_seconds,60.367
validation_clips,16
validation_correct,16
validation_accuracy,1.0
micro_precision,1.0
micro_recall,1.0
micro_f1,1.0
yolo_videos,18
yolo_success_videos,18
yolo_hand_positive_videos,4
yolo_zero_hand_videos,14
yolo_avg_hand_ratio,0.1124
yolo_avg_fps,7.5617
performance_runs,27
performance_modes,"ExternalBridge:9, Mock:9, NativeMediapipe:9"
custom_gesture_feature_samples,28
custom_gesture_feature_gestures,14
static_dynamic_comparison_items,5
