gesture_id,samples,mean_abs_selected_distance_delta,mean_selected_distance_path,mean_palm_path_length,mean_finger_to_palm_path_ratio,max_selected_peak_velocity,mean_oscillations
ext_horizontal_wave_easy,2,0.0803,0.4351,1.0212,0.5123,2.3495,3.5
ext_motion_down_left_medium,2,0.2633,0.314,0.5857,0.558,2.4457,2.0
ext_motion_down_right_short,2,0.0764,0.1008,0.2283,0.4562,0.9394,2.5
ext_motion_left_right_long,2,0.0803,0.4351,1.0212,0.5123,2.3495,3.5
ext_motion_right_left_long,2,0.0617,0.4718,1.3314,0.3472,4.4301,2.0
ext_motion_right_left_short,2,0.0645,0.6532,1.078,0.6168,3.7287,4.5
ext_motion_right_right_long,2,0.2334,0.3992,0.957,0.4153,4.1528,3.5
ext_motion_right_right_medium,2,0.4331,0.492,0.5346,0.8978,7.2224,3.5
ext_motion_right_right_short,2,0.0938,0.8468,0.7808,1.1197,5.4249,5.0
ext_motion_up_left_medium,2,0.1007,0.2856,0.4968,0.5695,1.9448,2.5
ext_motion_up_right_long,2,0.0817,0.505,1.2761,0.5645,3.5566,3.5
ext_motion_up_right_medium,2,0.1072,0.6432,0.6055,1.0266,3.3674,4.5
ext_motion_up_right_short,2,0.1314,1.3691,0.7138,2.1639,3.7184,6.0
ext_two_finger_spread_easy,2,0.1706,0.1706,0.0273,6.2521,0.6296,0.0
