gesture_id,display_name,sample_id,frames,duration,selected_finger_pair,selected_distance_start,selected_distance_end,selected_distance_delta,selected_distance_path,selected_peak_velocity,selected_oscillations,thumb_index_delta,thumb_middle_delta,palm_net_distance,palm_path_length,finger_to_palm_path_ratio
ext_horizontal_wave_easy,横向挥手验证：手从一侧划到另一侧,48746,8,0.4667,4-8,0.021,0.0924,0.0713,0.3207,2.2385,3,0.0713,0.0623,0.6878,1.343,0.2388
ext_horizontal_wave_easy,横向挥手验证：手从一侧划到另一侧,126852,9,0.5333,4-8,0.1194,0.0302,-0.0892,0.5496,2.3495,4,-0.0892,-0.1274,0.4008,0.6994,0.7858
ext_motion_down_left_medium,下滑-左手-中速：左手张掌，从画面上方向下方划动,129224,8,0.4667,4-8,0.2536,0.0143,-0.2393,0.3407,2.3802,4,-0.2393,-0.3223,0.3378,0.7278,0.4681
ext_motion_down_left_medium,下滑-左手-中速：左手张掌，从画面上方向下方划动,96420,6,0.3333,4-8,0.3861,0.0988,-0.2873,0.2873,2.4457,0,-0.2873,-0.3056,0.2534,0.4435,0.6478
ext_motion_down_right_short,下滑-右手-短：右手张掌，快速向下划一下,120434,5,0.2667,4-8,0.2266,0.1307,-0.0958,0.0958,0.7747,0,-0.0958,-0.1238,0.1599,0.1814,0.5283
ext_motion_down_right_short,下滑-右手-短：右手张掌，快速向下划一下,135104,8,0.4667,4-8,0.2342,0.1771,-0.0571,0.1057,0.9394,5,-0.0571,-0.0565,0.1705,0.2752,0.3842
ext_motion_left_right_long,左划-右手-长：右手张掌，从画面右侧往左侧划长距离,48746,8,0.4667,4-8,0.021,0.0924,0.0713,0.3207,2.2385,3,0.0713,0.0623,0.6878,1.343,0.2388
ext_motion_left_right_long,左划-右手-长：右手张掌，从画面右侧往左侧划长距离,126852,9,0.5333,4-8,0.1194,0.0302,-0.0892,0.5496,2.3495,4,-0.0892,-0.1274,0.4008,0.6994,0.7858
ext_motion_right_left_long,右划-左手-长：左手张掌，从画面左侧往右侧划长距离,134167,5,0.26,4-8,0.1082,0.0616,-0.0467,0.2285,2.0638,2,-0.0467,-0.0711,0.8973,1.2741,0.1793
ext_motion_right_left_long,右划-左手-长：左手张掌，从画面左侧往右侧划长距离,102826,11,0.6667,4-8,0.0146,0.0913,0.0767,0.7152,4.4301,2,0.0767,0.0399,0.7942,1.3886,0.515
ext_motion_right_left_short,右划-左手-短：左手张掌，快速向右划一下,147797,15,0.9333,4-8,0.0132,0.1245,0.1113,0.6757,3.7287,5,0.1113,0.1248,0.2422,0.9526,0.7093
ext_motion_right_left_short,右划-左手-短：左手张掌，快速向右划一下,49511,7,0.4,4-8,0.0874,0.1051,0.0177,0.6308,3.5941,4,0.0177,0.0186,0.175,1.2034,0.5242
ext_motion_right_right_long,右划-右手-长：右手张掌，从画面左侧往右侧划长距离,114481,10,0.6,4-8,0.341,0.0226,-0.3184,0.5589,4.1528,6,-0.3184,-0.0372,0.7835,0.9679,0.5774
ext_motion_right_right_long,右划-右手-长：右手张掌，从画面左侧往右侧划长距离,139480,5,0.2667,4-8,0.0189,0.1674,0.1484,0.2395,2.7922,1,0.1484,0.072,0.752,0.9461,0.2532
ext_motion_right_right_medium,右划-右手-中速：右手张掌，向右平移一段距离,48206,10,0.6,4-8,0.6529,0.0176,-0.6353,0.7343,7.2224,4,-0.6353,-0.2021,0.3027,0.7747,0.9478
