video,success,frames,hand_frames,hand_ratio,avg_confidence,fps,last_gesture
ext_any_motion_easy.mp4,True,38,30,0.7895,0.755,7.13,unknown
ext_finger_snap_video_template.mp4,True,34,26,0.7647,0.95,7.43,point
ext_horizontal_wave_easy.mp4,True,37,1,0.027,0.95,8.98,none
ext_motion_down_left_medium.mp4,True,8,0,0.0,0.0,7.81,none
ext_motion_down_left_short.mp4,True,18,0,0.0,0.0,8.99,none
ext_motion_down_right_short.mp4,True,5,0,0.0,0.0,6.67,none
ext_motion_left_right_long.mp4,True,8,0,0.0,0.0,7.71,none
ext_motion_right_left_long.mp4,True,5,0,0.0,0.0,6.27,none
ext_motion_right_left_short.mp4,True,15,0,0.0,0.0,8.95,none
ext_motion_right_right_long.mp4,True,10,0,0.0,0.0,8.63,none
ext_motion_right_right_medium.mp4,True,10,0,0.0,0.0,7.19,none
ext_motion_right_right_short.mp4,True,12,0,0.0,0.0,6.99,none
ext_motion_up_left_medium.mp4,True,5,0,0.0,0.0,6.08,none
ext_motion_up_right.mp4,True,34,15,0.4412,0.95,7.35,openPalm
ext_motion_up_right_long.mp4,True,8,0,0.0,0.0,8.98,none
ext_motion_up_right_medium.mp4,True,13,0,0.0,0.0,7.05,none
ext_motion_up_right_short.mp4,True,15,0,0.0,0.0,6.53,none
ext_two_finger_spread_easy.mp4,True,10,0,0.0,0.0,7.37,none
